Judul,Isi,Tanggal,Kategori
Pertemuan Sri Mulyani-Prabowo Tak Banyak Bahas Makan Bergizi Gratis,"Wakil Menteri Keuangan II Thomas Djiwandono mengungkapkan pertemuan antara dirinya, Menteri Keuangan Sri Mulyani, dan presiden terpilih Prabowo Subianto tak banyak membahas Program Makan Bergizi Gratis.
Menurut Thomas, makan bergizi gratis tak banyak dibahas lantaran sudah menjadi program yang berjalan. Hal ini ditandai dengan dibentuknya Badan Gizi Nasional.
""Jadi MBG malah tidak terlalu dibahas karena sudah dianggap proses yang berlangsung,"" katanya di Kantor Kementerian Keuangan (Kemenkeu), Rabu (11/9).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Thomas pun berharap program makan bergizi gratis akan berjalan lancar mulai tahun depan alias saat Prabowo menjabat presiden.

""Saya rasa akan tercapai dengan sudah dikeluarkan keputusan bahwa Badan Gizi itu terbentuk,"" sambungnya.
Thomas mengatakan selama hampir 3 jam ketiganya membahas Anggaran Pendapatan dan Belanja Negara (APBN) 2024 dan Rancangan APBN 2025.
Menurutnya, pembahasan itu penting karena Prabowo akan segera dilantik menjadi presiden pada 20 Oktober 2024.
""Dan Ibu Menkeu (Sri Mulyani) merasa perlu memberikan presiden terpilih saat ini posisi-posisi APBN kita di tiga bulan terakhir,"" jelas Thomas.
Makan bergizi gratis merupakan program andalan pasangan Prabowo-Gibran sejak masa kampanye. Untuk tahun depan, anggarannya disiapkan Rp71 triliun.

Program ini akan dijalankan oleh Badan Gizi Nasional yang dibentuk Presiden Jokowi melalui Perpres Nomor 83 Tahun 2024 yang diteken pada 15 Agustus.
Namun, Kepala Badan Gizi Nasional Dadan Hindayana Jokowi berpesan kepadanya agar badan yang dipimpinnya tidak hanya mengurusi program makan bergizi gratis di pemerintahan mendatang. Jokowi, kata dia, juga ingin Badan Gizi Nasional aktif memberikan sosialisasi kepada masyarakat soal gaya hidup sehat.
""Beliau inginkan agar Badan Gizi tidak hanya melaksanakan program makan bergizi gratis kepada anak sekolah, tapi lebih luas dari itu, utamanya gaya hidup sehat,"" kata Dadan usai bertemu Jokowi di Istana Kepresidenan, Jakarta, Selasa (20/8).
Jokowi juga berpesan agar program makan bergizi gratis dengan anggaran Rp71 triliun tidak tumpang tindih dengan Kementerian Kesehatan. Oleh sebab itu, Dadan harus berkomunikasi dengan kementerian/lembaga terkait perihal program andalan Prabowo-Gibran itu.
""Namun, pada intinya kan program makan bergizi ini akan diberikan kepada 82,9 juta penerima manfaat mulai dari ibu hamil, ibu menyusui, anak balita, anak sekolah dari PAUD sampai SMA. Termasuk juga dari sekolah-sekolah keagamaan,"" ujarnya.
[Gambas:Video CNN]

","Rabu, 11 Sep 2024 18:10 WIB",Ekonomi
Pebisnis Minta Jokowi Cabut Larangan Jual Rokok 200 Meter dari Sekolah,"Gabungan pengusaha rokok dan petani tembakau meminta Presiden Joko Widodo (Jokowi) dan Presiden Terpilih Prabowo Subianto membatalkan larangan penjualan rokok dalam radius 200 meter dari pusat pendidikan.
Larangan itu tertuang dalam Peraturan Pemerintah (PP) Nomor 28 Tahun 2024 tentang Kesehatan.
Permintaan pengusaha dan petani itu disampaikan dalam pernyataan sikap yang dibacakan di kantor Asosiasi Pengusaha Indonesia (APINDO), Rabu (11/9). Mereka di antaranya merupakan perwakilan dari APINDO, Asosiasi Petani Tembakau Indonesia (APTI), dan Gabungan Perserikatan Pabrik Rokok Indonesia (GAPPRI).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Kami memohon agar bapak presiden dan bapak presiden terpilih agar tidak memberlakukan larangan zonasi penjualan (rokok) dalam radius 200 meter (dari pusat pendidikan) mengingat sudah ada pembatasan umur untuk pembelian produk tembakau,"" kata mereka.

Selain itu, mereka juga meminta Jokowi dan Prabowo tidak menyetujui ketentuan mengenai standarisasi berupa kemasan polos dengan menghilangkan identitas merek produk rokok. Aturan itu tertuang dalam Rancangan Peraturan Menteri Kesehatan (RPMK) tentang Pengamanan Produk Tembakau dan Rokok Elektronik.
Kebijakan itu mereka nilai bisa menyebabkan makin maraknya produk rokok ilegal yang makin meningkat. Mereka mengatakan pelaku rokok ilegal dapat semena-mena memalsukan kemasan produk rokok resmi serta tidak membayar cukai.
""Hal ini jelas berdampak negatif bagi seluruh mata rantai industri hasil tembakau Indonesia, maupun bagi negara. Karenanya, kami mohon pemerintah tidak semakin menyuburkan peredaran rokok ilegal dengan mendorong regulasi eksesif,"" katanya.
Dalam kesempatan itu, Wakil Ketua Umum APINDO Franky Sibarani khawatir PP 28/2024 memberatkan  dan dapat menciptakan ketidakstabilan di berbagai sektor terkait, termasuk ritel, pertanian, dan industri kreatif yang bergantung pada ekosistem industri hasil tembakau (IHT).
""Industri saat ini sedang sangat prihatin. Regulasi yang dibuat jangan sampai mematikan industri tembakau dan sektor-sektor terkait,"" katanya.
[Gambas:Video CNN]
","Rabu, 11 Sep 2024 17:31 WIB",Ekonomi
IHSG Melemah Tipis ke 7.760 Sore Ini,"Indeks Harga Saham Gabungan (IHSG) ditutup di level 7.760 pada Rabu (11/9) sore. Indeks saham melemah tipis 0,43 poin atau minus 0,01 persen dari perdagangan sebelumnya.
Mengutip RTI Infokom, investor melakukan transaksi sebesar Rp11,12 triliun dengan jumlah saham yang diperdagangkan sebanyak 19,13 miliar saham.
Pada penutupan kali ini, 225 saham menguat, 351 terkoreksi, dan 220 lainnya stagnan.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Terpantau, lima dari 11 indeks sektoral melemah, dipimpin oleh sektor cyclical, yakni turun 2,22 persen.

Beralih ke asing, bursa saham Asia bergerak kompak di zona merah. Tercatat Nikkei 225 di Jepang melemah 1,49 persen, indeks Hang Seng Composite di Hong Kong minus 0,70 persen, dan indeks Kospi Korea Selatan turun 0,40 persen.
Sedangkan, bursa saham Eropa bergerak bervariasi. Terpantau indeks FTSE 100 di Inggris melemah 0,18 persen, indeks DAX di Jerman menguat 0,17 persen, dan indeks CAC 40 di Prancis naik 0,08 persen.
Senada dengan Eropa, bursa saham AS juga bergerak bervariasi. Indeks S&P 500 menguat 0,45 persen, indeks NYSE Composite turun 0,20 persen, dan indeks NASDAQ Composite naik 0,84 persen.
[Gambas:Video CNN]
","Rabu, 11 Sep 2024 16:37 WIB",Ekonomi
Rupiah Menguat Rp15.402 per Dolar AS Usai Debat Trump-Harris,"Nilai tukar rupiah berada di level Rp15.402 per dolar AS pada Rabu (11/9) sore. Mata uang Garuda menguat 53 poin atau 0,34 persen dari perdagangan sebelumnya.
Sementara, kurs referensi Bank Indonesia (BI), Jakarta Interbank Spot Dollar Rate (Jisdor) menempatkan rupiah di posisi Rp15.415 per dolar AS.
Mata uang di kawasan Asia kompak berada di zona hijau. Yen Jepang menguat 0,67 persen, baht Thailand menguat 0,14 persen, yuan China menguat 0,12 persen, peso Filipina menguat 0,77 persen, dan won Korea Selatan menguat 0,32 persen.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Dolar Singapura juga menguat 0,20 persen dan dolar Hong Kong terpantau stagnan pada penutupan perdagangan sore ini.

Senada, mata uang utama negara maju juga kompak berada di zona hijau. Tercatat euro Eropa menguat 0,23 persen, poundsterling Inggris menguat 0,03 persen, dan franc Swiss menguat 0,18 persen.
Dolar Australia menguat 0,12 persen, dan dolar Kanada juga menguat 0,18 persen.
Analis Pasar Lukman Leong mengatakan penguatan rupiah dipengaruhi oleh debat capres AS antara Kamala Harris dan Donald Trump.
""Rupiah, mata uang regional dan utama dunia pada umumnya menguat terhadap dolar AS yang terkoreksi setelah debat capres Trump dan Harris,"" ujar Lukman kepada CNNIndonesia.com.
Ia mengatakan investor menganggap hasil perdebatan ini lebih condong ke Harris, sedangkan Trump umumnya lebih dianggap kuat bagi dolar AS
[Gambas:Video CNN]
","Rabu, 11 Sep 2024 16:24 WIB",Ekonomi
Sri Mulyani Usai Nonton Timnas-Australia: Terima Kasih Bang Paes,"Menteri Keuangan Sri MulyaniÂ berkomentar soal performaÂ Tim Nasional Indonesia saat menahan imbangÂ Australia di babak ketiga Kualifikasi Piala Dunia 2026 di StadiunÂ Utama Gelora Bung KarnoÂ pada Selasa (10/9) malam kemarin.
Ia mengaku terkesima dengan penampilan memukauÂ tim nasional. Meskipun pertandingan berakhir dengan skor 0-0, ia mengatakan penampilan itu luar biasa.
""Sangat memukau semalam. Berhasil menahan imbang ranking 24 @fifa, ðŸ‡¦ðŸ‡º @socceroos, karyawan tetap piala dunia,"" katanya melalui akunÂ InstagramnyaÂ @smindrawati, Rabu (11/9).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Permainan yang cantik, dewasa, dan sangat memikat dari kesebelasan kesayangan kita,"" katanya.
[Gambas:Instagram]
Ia mengatakan hasil semalam merupakan testimoni peningkatan performa Tim Garuda yang begitu signifikan.
Selain tim nasional, pujian ia sematkan kepada penjaga gawang Indonesia MarteenÂ Paes. Pasalnya, PaesÂ berulang kali berhasil menyelamatkan gawang Indonesia dari kebobolan.
""Detik demi detik penuh rasa berdebar. Pertahanan absolut dari @maartenpaes memang layak mengantarkannya menjadi Player of the Match semalam. Terima kasih Bang Paes!,"" katanya.
Tim Nasional Indonesia berhasil menahan imbang Australia pada tadi malam. Keberhasilan itu salah satunya tidak terlepas dari peran MarteenÂ PaesÂ di bawah mistar gawang.
Sepanjang pertandingan, ia berhasil melakukan lima penyelamatan gemilang. Sedikitnya ada tiga peluang yang ditepis Paes dan dua sisanya mampu ditangkap sempurna.
Penyelamatan pertama dilakukan Paes terjadi di menit ke-21. Penjaga gawang 26 tahun itu sukses menepis tembakan keras Harry Souttar dari jarak ideal.

Dua menit berselang, Paes kembali menepis bola hasil sundulan Souttar di kotak penalti.
Di babak kedua, tepatnya di menit ke-68, Paes mampu menangkap tendangan bebas keras Craig Goodwin yang sudah melewat pagar pertahanan Indonesia.
Maarten Paes lagi-lagi berhasil mengamankan gawang Timnas Indonesia. Peluang emas Australia kini datang dari Adam Taggart yang mendapat yang mampu menyambar kemelut di kotak penalti pada menit ke-68. Namun, bola masih bisa diamankan Paes.
Sederet penyelamatan krusial itulah yang membuat Paes dinobatkan sebagai pemain terbaik Indonesia vs Australia.
[Gambas:Video CNN]
Tak hanya mendapatkan predikat itu, sejumlah pujian juga datang untuk Paes. Salah satunya dari pelatih Timnas Indonesia, Shin Tae-yong.
""Marteen (Paes) di laga pertama dan kedua sangat baik, dan dia sebagai pemain belakang terakhir bisa memimpin dengan baik,"" kata Shin dalam konferensi pers setelah pertandingan.
Pujian juga diberikan Presiden Joko Widodo. Usai pertandingan, ia turun ke pinggir lapangan untuk menunjukkan dukungan dan memberikan penghargaan kepada Timnas Indonesia. Jokowi menyapa Shin Tae-yong dan seluruh pemain yang telah berjuang keras di lapangan.
Dalam wawancara pasca pertandingan, Jokowi memberikan apresiasi atas penampilan luar biasa Timnas Indonesia.
""Saya kira permainan yang luar biasa dengan perjuangan kerja keras seluruh pemain terutama kiper. Lawan ranking 24 dan bisa menjaga, menahan imbang, dapat satu poin,"" ucapnya.
Jokowi berharap hasil ini bisa menjadi langkah awal menuju pencapaian lebih besar di masa depan.
""Kita harapkan dengan tabungan satu poin, satu poin, mungkin nanti bisa tiga poin, ini yang kita harapkan,"" ungkapnya.



","Rabu, 11 Sep 2024 15:47 WIB",Ekonomi
Bank Mandiri Tawarkan Properti Lelang dengan Harga Menarik di Rumah123,"Dalam upaya memperluas akses kepemilikan properti bagi masyarakat, Bank Mandiri menjalin kerjasama strategis dengan Rumah123, salah satu platform properti terbesar di Indonesia. Kemitraan yang bertepatan dengan Hari Properti Nasional (Harpropnas) ini menegaskan komitmen Bank Mandiri dalam menghadirkan layanan yang adaptif dan solutif kepada masyarakat.
Lewat kemitraan ini, Bank Mandiri menghadirkan ribuan aset properti lelang yang bisa diakses langsung melalui portal microsite khusus di platform Rumah123. Langkah ini bukan hanya mempermudah, tetapi juga menawarkan kesempatan bagi calon pembeli potensial dalam memiliki properti dengan harga yang lebih terjangkau, bahkan bisa di bawah harga pasaran.
Dengan lebih dari 1.000 aset yang ditawarkan, mulai dari Rp100 juta hingga Rp50 miliar, masyarakat bisa mengakses program lelang properti ini melalui microsite mandiriasetuntung.com dan rumah123.com/mandiriasetuntung. Portal ini diharapkan dapat menjangkau lebih banyak masyarakat di seluruh Indonesia dan memberikan solusi kepemilikan properti yang lebih terjangkau, mudah, dan cepat.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Kami sangat antusias dengan kemitraan ini. Rumah123 memiliki ekosistem properti yang kuat dan jaringan luas, sehingga kami optimis dapat menjangkau lebih banyak calon pembeli untuk aset-aset lelang kami,"" ujar VP Retail Collection & Recovery Bank Mandiri Ratih Eka Dewi H saat meresmikan kerjasama ini bersama Perwakilan Manajemen Rumah123 di Gandaria City, Jakarta, Rabu (11/9).
Sebagai pintu masuk bagi calon pembeli yang ingin mengikuti lelang maupun jual beli sukarela, melalui microsite ini Bank Mandiri menawarkan properti yang bervariasi, mulai dari rumah, ruko, kios, gudang, tanah kosong hingga apartemen. Menurut Ratih, dengan ragam pilihan tersebut, masyarakat berkesempatan untuk membeli properti dengan harga yang lebih terjangkau.
Tak hanya menyediakan properti lelang dengan harga bersaing, Bank Mandiri juga menawarkan skema pembiayaan yang mudah melalui Kredit Pemilikan Rumah (KPR) khusus lelang. Program ini disertai dengan suku bunga super promo dan bebas biaya appraisal yang memberikan kemudahan tambahan bagi calon pembeli.
""Kami tidak hanya menawarkan pembelian secara tunai, tetapi juga menyediakan fasilitas pembiayaan yang ringan dan cepat. Prosesnya dirancang untuk mempermudah calon pembeli, mulai dari pengajuan hingga pelaksanaan akad dan pencairan kredit,"" tutur Ratih.
Dengan kolaborasi ini, Bank Mandiri berharap dapat menarik minat masyarakat untuk memanfaatkan peluang membeli properti lelang dengan berbagai keuntungan yang ditawarkan, termasuk proses pembelian yang lebih mudah dan akses lebih luas ke berbagai jenis properti.","Rabu, 11 Sep 2024 15:36 WIB",Ekonomi
Basuki Ungkap Rencana Kalau Lengser Jadi Menteri PUPR,"Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR) Basuki Hadimuljono mengungkap rencananya usai lengser dari jabatannya nanti.
Ia mengungkap keinginannya untuk mengajar suatu hal yang ia minati untuk mengisi masa pensiun.
""Nanti saya kan bisa ngajar lah,"" ucap dia di Kompleks Parlemen, Senayan, Jakarta Pusat, Rabu (11/9).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Ketika ditanya lebih lanjut, Basuki enggan membeberkan pelajaran apa yang ingin dibimbingnya itu.

""Satu lah, satu pelajaran aja. Jadi enggak usah terlalu ini... Satu pelajarannya untuk ngisi (waktu),"" imbuhnya.
Masa jabatan Basuki sebagai menteri akan habis seiring lengsernya Jokowi jadi presiden. Belum jelas apakah presiden terpilih akan memilihnya menjadi menteri PUPR lagi
Yang pasti, Basuki sempat pamitan ke DPR beberapa waktu lalu. Bahkan saat pamitan, ia sempat terisak di Komisi V DPR RI.
Pria yang akrab disapa Pak Bas itu terharu saat menyampaikan salam perpisahan.
""Saya atas nama keluarga besar Kementerian PUPR mengucapkan terima kasih atas semua pengawasan dan atensi yang bapak (Komisi V DPR RI) berikan kepada Kementerian PUPR,"" tutur Basuki dalam Raker dengan Komisi V DPR RI di Jakarta Pusat, Senin (9/9).
Basuki dan jajaran Kementerian PUPR berdiri kemudian menunduk berterima kasih kepada para anggota DPR RI. Ia lantas mengucapkan kata-kata perpisahan yang sudah dirangkai rapi.

Anak buah Presiden Joko Widodo itu tak dapat menahan rasa haru. Terlebih, Basuki sudah menjabat sebagai menteri PUPR selama 10 tahun alias dua periode Jokowi.
""10 tahun telah berlalu kita bersama, berkarya untuk membangun bangsa. Andai kata ada kata-kata yang tidak sama, mohon maaf please jangan dipendam selama-lamanya. Sakinah mawadah warahmah adalah harapan semua keluarga dan kita semua. Walaupun tiba saatnya kini berpisah, semoga silaturahmi tetap dapat kita jaga,"" tutur Basuki.
""Sekali lagi terima kasih bapak atas semuanya, tidak mudah membina hubungan kekeluargaan seperti di Komisi V ini. Apapun yang bapak-bapak sampaikan, kami rasakan itu memang tujuannya baik untuk membangun kita semua,"" tandasnya.


[Gambas:Video CNN]

","Rabu, 11 Sep 2024 15:22 WIB",Ekonomi
Thomas Djiwandono Bocorkan Isi Pertemuan 3 Jam Sri Mulyani-Prabowo,"Wakil Menteri Keuangan II Thomas Djiwandono membocorkan isi pertemuan antara Menteri Keuangan Sri Mulyani dengan presiden terpilih Prabowo Subianto.
Adapun ketiganya bertemu pada Senin (9/9). Thomas mengatakan selama hampir 3 jam ketiganya membahas Anggaran Pendapatan dan Belanja Negara (APBN) 2024 dan Rancangan APBN 2025.
Menurut Thomas, pembahasan itu penting karena Prabowo akan segera dilantik menjadi presiden pada 20 Oktober 2024.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Dan Ibu Menkeu (Sri Mulyani) merasa perlu memberikan presiden terpilih saat ini posisi-posisi APBN kita di tiga bulan terakhir,"" jelas Thomas di Kantor Kementerian Keuangan (Kemenkeu), Rabu (11/9).

Keponakan Prabowo itu juga menyebut pembahasan lebih mendalam berlanjut tatkala ketiganya membahas Rancangan APBN 2025. Thomas mengungkapkan bahwa Sri Mulyani meminta arahan Prabowo terkait program-program di 2025.
Di satu sisi, kata Thomas, Sri Mulyani juga menjelaskan kondisi dan dinamika ekonomi global kiwari kepada Prabowo.
Selain itu, Thomas juga mengklaim pertemuan itu tampak hangat karena ada pembahasan-pembahasan ringan. Ini mengingat Sri Mulyani dan Prabowo sudah akrab sebagai sesama pembantu Presiden Joko Widodo (Jokowi).
""Jadi sekali lagi pertemuan itu sangat baik, sangat hangat, dan sangat substantif,"" ucap Thomas.
Setali tiga uang, Sri Mulyani mengaku bertemu Prabowo untuk melapor kondisi APBN 2024.
Pertemuan itu tampak santai. Dari konten yang diunggah, Sri Mulyani tampak tertawa dalam beberapa foto. Ia, Prabowo dan Thomas duduk melingkari meja bundar.
[Gambas:Instagram]
Ada dua hal yang ia laporkan kepada Prabowo. Pertama, mengenai pelaksanaan APBN 2024 dan outlooknya yang akan ditutup Desember 2024 atau di bawah pemerintahan Prabowo.
""Dengan demikian, beliau (Prabowo) mengetahui detail perkembangan pelaksanaan APBN yang sedang berjalan,"" ujarnya.
Kedua, Sri Mulyani melaporkan perkembangan pembahasan RUU RAPBN 2025 di DPR dan arahan-arahan Prabowo mengenai berbagai usulan program dan anggaran yang disediakan.
""Arahan beliau sesuai program prioritas yang akan dicapai dalam pemerintahan baru 2024-2029. Excellent and very fruitful discussions!"" pungkasnya.
[Gambas:Video CNN]

","Rabu, 11 Sep 2024 14:58 WIB",Ekonomi
Tak Ada Tawaran Jadi Menteri Keuangan Lagi di Temu Sri Mulyani-Prabowo,"Wakil Menteri Keuangan II Thomas Djiwandono menegaskan pertemuan Menteri Keuangan Sri Mulyani dengan presiden terpilih Prabowo Subianto bukan sinyal berlanjutnya jabatan bendahara negara itu.
Thomas menuturkan dalam pertemuan yang berlangsung Jumat (9/9) itu, Prabowo tak menawarkan maupun membahas kursi menteri keuangan kepada Sri Mulyani. Maklum, hingga saat ini memang belum ada calon nama pasti untuk posisi menteri keuangan di kabinet Prabowo kelak.
""Tidak ada bahasan sama sekali mengenai posisi dan apa... Baik itu antara Ibu Sri Mulyani dan Pak Prabowo, maupun secara keseluruhan kabinet,"" jelas Thomas di Kantor Kementerian Keuangan (Kemenkeu), Jakarta, Rabu (11/9).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Keponakan Prabowo itu mengatakan bahwa pertemuan itu hanya membahas mengenai substansi Anggaran Pendapatan dan Belanja Negara (APBN) 2024 dan Rancangan APBN 2025.
[Gambas:Instagram]
Pernyataan Thomas itu pun diamini oleh Sri Mulyani. Ia mengaku bertemu dengan Prabowo untuk melapor perkembangan APBN kepada sang presiden terpilih.
Menurut Sri Mulyani, pertemuan itu berlangsung santai. Dari konten yang diunggah, Sri Mulyani tampak tertawa dalam beberapa foto. Ia, Prabowo, dan Thomas duduk melingkari meja bundar.
Ada dua hal yang ia laporkan kepada Prabowo. Pertama, mengenai pelaksanaan APBN 2024 dan outlooknya yang akan ditutup Desember 2024 atau di bawah pemerintahan Prabowo.
""Dengan demikian, beliau (Prabowo) mengetahui detail perkembangan pelaksanaan APBN yang sedang berjalan,"" ujar Sri MUlyani melalui akun Instagram pribadi, @smindrawati.
Kedua, Sri Mulyani melaporkan perkembangan pembahasan RUU RAPBN 2025 di DPR dan arahan-arahan Prabowo mengenai berbagai usulan program dan anggaran yang disediakan.
""Arahan beliau sesuai program prioritas yang akan dicapai dalam pemerintahan baru 2024-2029. Excellent and very fruitful discussions!"" pungkasnya.
Belakangan, pertemuan Sri Mulyani dengan Prabowo itu disebut sebagai sinyal berlanjutnya posisi menteri keuangan oleh wanita yang akrab disapa Ani tersebut.
Namun, di sisi lain, Sri Mulyani diperkirakan tidak masuk jajaran menteri kabinet Prabowo-Gibran Rakabuming Raka. Anggota Dewan Pakar Tim Kampanye Nasional (TKN) Prabowo-Gibran Drajad Wibowo mengatakan Sri Mulyani dan Prabowo tidak memiliki pandangan yang sama.
[Gambas:Video CNN]
""Tapi kalau saya sebagai ekonom membaca dan melihat memang chemistry Pak Prabowo dengan Mba Ani enggak jalan,"" ujarnya saat berbincang dengan media, Februari 2024 lalu.
Di satu sisi, Dewan Pakar TKN Prabowo-Gibran Laode M Kamaluddin membongkar kriteria menteri keuangan idaman Prabowo.
Ia menegaskan sosok menkeu yang dibutuhkan prabowo adalah profesional ahli dan mempunyai latar belakang politik.
""Liat passion dulu, kemudian memenuhi persyaratan dua: profesional, (dan) tentu punya latar belakang politik, karena di parlemen kan kalau nggak nego ya, nggak bisa kan,"" kata Laode di Ayana MidPlaza, Jakarta Pusat, Kamis (29/8) dikutip Detikfinance.
","Rabu, 11 Sep 2024 14:44 WIB",Ekonomi
Respons Indodax Soal Dugaan Kebobolan Rp335 M Imbas Transaksi Ilegal,"Perusahaan Blockchain dan Kripto, Indodax merespons dugaan kebobolan yang mengakibatkan kerugian hingga Rp355 miliar karena transaksi ilegal di platform mereka.
Melalui website resminya, Indodax mengakui menemukan potensi masalah keamanan di platform miliknya. Namun, tidak menjelaskan dengan detail apakah karena transaksi ilegal atau sebagainya.
""Saat ini, kami sedang melakukan pemeliharaan menyeluruh untuk memastikan seluruh sistem beroperasi dengan baik,"" ujar Indodax dalam keterangan yang mereka sampaikan lewat blog resmi Rabu (11/9).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Perusahaan mengumumkan bahwa selama proses pemeliharaan ini, platform web dan aplikasi sementara tidak dapat diakses. Tapi dipastikan dana pengguna tetap aman.

""Namun jangan khawatir, dapat kami pastikan bahwa saldo Anda tetap 100 persen aman, baik secara kripto maupun rupiah,"" jelas Indodax.
Dugaan kebobolan Indodax akibat transaksi ilegal disampaikan oleh pendiri Ethical Hacker Indonesia Teguh Aprianto. Bahkan disebutkan kerugian insiden ini mencapai Rp335 miliar.
""Indodax, salah satu exchanger crypto di Indonesia diduga kebobolan dengan total kerugian dari transaksi ilegal lebih dari 21,8 juta USD atau sekitar 335 miliar rupiah,"" tulis Teguh di akun X, Rabu (11/9).
[Gambas:Video CNN]
","Rabu, 11 Sep 2024 14:30 WIB",Ekonomi
